task,repo,n,npass,p,v,keep,gt_class,gt_rank
aiohttp:0813710e44b911e40809131521e108cdb8451c7b,aiohttp,24,24,1.0000,0.0000,0,trivial,2523
aiohttp:e56a4fd45b813a8c41d09c88aaf3c73903935c71,aiohttp,24,24,1.0000,0.0000,0,trivial,2524
aiohttp:b4f9cb35589db813bd449b9475ad039cc49ee9c1,aiohttp,24,24,1.0000,0.0000,0,trivial,2525
aiohttp:0995007bb568652a4159eb38568f95d6adbf9f88,aiohttp,24,24,1.0000,0.0000,0,trivial,2526
aiohttp:fc11fd22ce4b424d3897d2010415946e8194648f,aiohttp,16,16,1.0000,0.0000,0,trivial,2527
aiohttp:4ca503331239f309d044c8ca8539ae8fa347659a,aiohttp,8,8,1.0000,0.0000,0,trivial,2528
aiohttp:02d8dba9a320e4d15d8d7539ca5fb6d93083bd26,aiohttp,16,16,1.0000,0.0000,0,trivial,2529
aiohttp:07429ed0084b3cdd636b178d4eda6944a1809069,aiohttp,16,16,1.0000,0.0000,0,trivial,2530
aiohttp:c95998e2641009fab2426b7b7596b07f271435a4,aiohttp,16,16,1.0000,0.0000,0,trivial,2531
aiohttp:ffb66cb0d1908bcc9b12fabd637d07b8a765430c,aiohttp,16,16,1.0000,0.0000,0,trivial,2532
aiohttp:bb81dbc7f3f0b2dcea30b987fb502bb5c07030aa,aiohttp,8,8,1.0000,0.0000,0,trivial,2533
aiohttp:8a44398aca58baeab809da9cbaeca8e616b3556d,aiohttp,8,8,1.0000,0.0000,0,trivial,2534
aiohttp:672cb20b38b10a329b5dfa8f1845fb022a426bf7,aiohttp,24,0,0.0000,0.0000,0,dead,2535
aiohttp:88f383427e918360fd2762a9a3256897159e2d6b,aiohttp,16,0,0.0000,0.0000,0,dead,2536
aiohttp:e9609ad14aef19dfd62e29f99c01a25294ff8d6b,aiohttp,24,0,0.0000,0.0000,0,dead,2537
aiohttp:d58d2c3d0f8755dcd982071e3dc12e9f14db55f6,aiohttp,24,0,0.0000,0.0000,0,dead,2538
aiohttp:d7cd0613472fd4d9940e37f1c55921f6a1515324,aiohttp,24,0,0.0000,0.0000,0,dead,2539
aiohttp:2e4b0337e1ee4db3ceb5adc8276f94e11f8b09c3,aiohttp,8,0,0.0000,0.0000,0,dead,2540
aiohttp:be27f7926f0da9b4129d98cf628eea99dc9e3411,aiohttp,24,0,0.0000,0.0000,0,dead,2541
aiohttp:10217d0a2e4eb97b0050fabe3f0aeae6d43c2071,aiohttp,16,0,0.0000,0.0000,0,dead,2542
aiohttp:980c0d0bd3636a79b29b28b5bdde7dcd796736b1,aiohttp,24,0,0.0000,0.0000,0,dead,2543
aiohttp:d24c19e3b328517cba8a856c61f3d079614a5a5a,aiohttp,24,0,0.0000,0.0000,0,dead,2544
aiohttp:541d86d9e7884590c655876cd40042565293d8df,aiohttp,16,0,0.0000,0.0000,0,dead,2545
aiohttp:7fa8d945a452fb4ad912589f4ba5bcea13338bcf,aiohttp,24,0,0.0000,0.0000,0,dead,2546
aiohttp:e238777c2a1e99e5de6e57972a31488ee8f03e37,aiohttp,24,0,0.0000,0.0000,0,dead,2547
aiohttp:2b40f6b79fae3bc84ff90f7dee6b8e780716d179,aiohttp,24,0,0.0000,0.0000,0,dead,2548
aiohttp:0415a4ca18e15e734999925fd7f20607f05e2a4b,aiohttp,24,0,0.0000,0.0000,0,dead,2549
aiohttp:7c38deb7c709be6c69962002c133e2781512724b,aiohttp,24,0,0.0000,0.0000,0,dead,2550
aiohttp:50efb2a389414cf36012d3f6e86623f8eac3a42e,aiohttp,24,0,0.0000,0.0000,0,dead,2551
aiohttp:259edc369075de63e6f3a4eaade058c62af0df71,aiohttp,24,0,0.0000,0.0000,0,dead,2552
